service_id,date,exception_type
"757_114659","20180513","1"
"757_114659","20180520","1"
"757_114659","20180527","1"
"757_114660","20170915","1"
"757_114660","20170918","1"
"757_114660","20170919","1"
"757_114660","20170920","1"
"757_114660","20170921","1"
"757_114660","20170922","1"
"757_114660","20170925","1"
"757_114660","20170926","1"
"757_114660","20170927","1"
"757_114660","20170928","1"
"757_114660","20170929","1"
"757_114660","20171002","1"
"757_114660","20171003","1"
"757_114660","20171005","1"
"757_114660","20171006","1"
"757_114660","20171009","1"
"757_114660","20171010","1"
"757_114660","20171011","1"
"757_114660","20171012","1"
"757_114660","20171013","1"
"757_114660","20171016","1"
"757_114660","20171017","1"
"757_114660","20171018","1"
"757_114660","20171019","1"
"757_114660","20171020","1"
"757_114660","20171023","1"
"757_114660","20171024","1"
"757_114660","20171025","1"
"757_114660","20171026","1"
"757_114660","20171027","1"
"757_114660","20171030","1"
"757_114660","20171031","1"
"757_114660","20171103","1"
"757_114660","20171106","1"
"757_114660","20171107","1"
"757_114660","20171108","1"
"757_114660","20171109","1"
"757_114660","20171110","1"
"757_114660","20171113","1"
"757_114660","20171114","1"
"757_114660","20171115","1"
"757_114660","20171116","1"
"757_114660","20171117","1"
"757_114660","20171120","1"
"757_114660","20171121","1"
"757_114660","20171122","1"
"757_114660","20171123","1"
"757_114660","20171124","1"
"757_114660","20171127","1"
"757_114660","20171128","1"
"757_114660","20171129","1"
"757_114660","20171130","1"
"757_114660","20171201","1"
"757_114660","20171204","1"
"757_114660","20171205","1"
"757_114660","20171206","1"
"757_114660","20171207","1"
"757_114660","20171211","1"
"757_114660","20171212","1"
"757_114660","20171213","1"
"757_114660","20171214","1"
"757_114660","20171215","1"
"757_114660","20171218","1"
"757_114660","20171219","1"
"757_114660","20171220","1"
"757_114660","20171221","1"
"757_114660","20171222","1"
"757_114660","20180108","1"
"757_114660","20180109","1"
"757_114660","20180110","1"
"757_114660","20180111","1"
"757_114660","20180112","1"
"757_114660","20180115","1"
"757_114660","20180116","1"
"757_114660","20180117","1"
"757_114660","20180118","1"
"757_114660","20180119","1"
"757_114660","20180122","1"
"757_114660","20180123","1"
"757_114660","20180124","1"
"757_114660","20180125","1"
"757_114660","20180126","1"
"757_114660","20180129","1"
"757_114660","20180130","1"
"757_114660","20180131","1"
"757_114660","20180201","1"
"757_114660","20180202","1"
"757_114660","20180205","1"
"757_114660","20180206","1"
"757_114660","20180207","1"
"757_114660","20180208","1"
"757_114660","20180209","1"
"757_114660","20180212","1"
"757_114660","20180213","1"
"757_114660","20180214","1"
"757_114660","20180215","1"
"757_114660","20180216","1"
"757_114660","20180219","1"
"757_114660","20180220","1"
"757_114660","20180221","1"
"757_114660","20180222","1"
"757_114660","20180223","1"
"757_114660","20180226","1"
"757_114660","20180227","1"
"757_114660","20180228","1"
"757_114660","20180301","1"
"757_114660","20180302","1"
"757_114660","20180305","1"
"757_114660","20180306","1"
"757_114660","20180307","1"
"757_114660","20180308","1"
"757_114660","20180309","1"
"757_114660","20180312","1"
"757_114660","20180313","1"
"757_114660","20180314","1"
"757_114660","20180315","1"
"757_114660","20180316","1"
"757_114660","20180319","1"
"757_114660","20180320","1"
"757_114660","20180321","1"
"757_114660","20180322","1"
"757_114660","20180323","1"
"757_114660","20180326","1"
"757_114660","20180327","1"
"757_114660","20180328","1"
"757_114660","20180404","1"
"757_114660","20180405","1"
"757_114660","20180406","1"
"757_114660","20180409","1"
"757_114660","20180410","1"
"757_114660","20180411","1"
"757_114660","20180412","1"
"757_114660","20180413","1"
"757_114660","20180416","1"
"757_114660","20180417","1"
"757_114660","20180418","1"
"757_114660","20180419","1"
"757_114660","20180420","1"
"757_114660","20180423","1"
"757_114660","20180424","1"
"757_114660","20180426","1"
"757_114660","20180427","1"
"757_114660","20180430","1"
"757_114660","20180502","1"
"757_114660","20180503","1"
"757_114660","20180504","1"
"757_114660","20180507","1"
"757_114660","20180508","1"
"757_114660","20180509","1"
"757_114660","20180510","1"
"757_114660","20180511","1"
"757_114660","20180514","1"
"757_114660","20180515","1"
"757_114660","20180516","1"
"757_114660","20180517","1"
"757_114660","20180518","1"
"757_114660","20180521","1"
"757_114660","20180522","1"
"757_114660","20180523","1"
"757_114660","20180524","1"
"757_114660","20180525","1"
"757_114660","20180528","1"
"757_114660","20180529","1"
"757_114660","20180530","1"
"757_114660","20180531","1"
"757_114660","20180601","1"
"757_114661","20171004","1"
"757_114662","20171102","1"
"757_114662","20171227","1"
"757_114662","20171228","1"
"757_114662","20171229","1"
"757_114662","20180102","1"
"757_114662","20180103","1"
"757_114662","20180104","1"
"757_114662","20180105","1"
"757_114662","20180329","1"
"757_114662","20180330","1"
"757_114662","20180403","1"
"757_114663","20171208","1"
"757_114663","20171210","1"
"757_114663","20171217","1"
"757_114663","20171224","1"
"757_114670","20170527","1"
"757_114671","20170527","1"
"757_114672","20170527","1"
"757_114673","20170527","1"
"757_114690","20170915","1"
"757_114690","20170918","1"
"757_114690","20170919","1"
"757_114690","20170920","1"
"757_114690","20170921","1"
"757_114690","20170922","1"
"757_114690","20170925","1"
"757_114690","20170926","1"
"757_114690","20170927","1"
"757_114690","20170928","1"
"757_114690","20170929","1"
"757_114690","20171002","1"
"757_114690","20171003","1"
"757_114690","20171004","1"
"757_114690","20171005","1"
"757_114690","20171006","1"
"757_114690","20171009","1"
"757_114690","20171010","1"
